item.id;sentence;word.serial.no;word.id;morph.structure;number.morphemes;morphemes;stress.pos;stress.pos.syl;has.stress.variant;form.suff
;;139;из;(-из- (корень));1;(-из- (корень));1;1;;()
;;140;двух;(-дв- (корень), -ух (окончание));2;(-дв- (корень), -ух (окончание));3;1;;()
;;141;частей;(-част- (корень), -ей (окончание));2;(-част- (корень), -ей (окончание));5;2;;()
16;В каждом углу комнаты сидели по две кошки.;142;в;(-в- (корень));1;(-в- (корень));;;;()
;;143;каждом;(-кажд- (корень), -ом (окончание));2;(-кажд- (корень), -ом (окончание));2;1;;()
;;144;углу;(-угл- (корень), -у (окончание));2;(-угл- (корень), -у (окончание));4;2;;()
;;145;комнаты;(-комнат- (корень), -ы (окончание));2;(-комнат- (корень), -ы (окончание));2;1;;()
;;146;сидели;(-е (суффикс), -л (суффикс), -сид- (корень), -и (окончание));4;(-е (суффикс), -л (суффикс), -сид- (корень), -и (окончание));4;2;;(-е (суффикс), -л (суффикс))
;;147;по;(-по- (корень));1;(-по- (корень));2;1;;()
;;148;две;(-дв- (корень), -е (окончание));2;(-дв- (корень), -е (окончание));3;1;;()
;;149;кошки;(-к (суффикс), -кош- (корень), -и (окончание));3;(-к (суффикс), -кош- (корень), -и (окончание));2;1;;()
17;Здесь потребуется врач, который будет лечить заболевших в экспедиции?;150;здесь;(-здесь- (корень));1;(-здесь- (корень));3;1;;()
;;151;потребуется;(-ся (постфикс), по- (приставка), -у (суффикс), -треб- (корень), -ет (окончание));5;(-ся (постфикс), по- (приставка), -у (суффикс), -j (суффикс), -треб- (корень), -ет (окончание));5;2;;(-у (суффикс))
;;152;врач;(-врач- (корень));1;(-врач- (корень));3;1;;()
;;153;который;(-котор- (корень), -ый (окончание));2;(-котор- (корень), -ый (окончание));4;2;;()
;;154;будет;(-буд- (корень), -ет (окончание));2;(-буд- (корень), -ет (окончание));2;1;;()
;;155;лечить;(-и (суффикс), -леч- (корень), -ть (суффикс));3;(-и (суффикс), -леч- (корень), -ть (суффикс));4;2;;(-и (суффикс),  -ть (суффикс))
;;156;заболевших;(за- (приставка), -е (суффикс), -вш (суффикс), -бол- (корень), -их (окончание));5;(за- (приставка), -е (суффикс), -вш (суффикс), -бол- (корень), -их (окончание));6;3;;(-е (суффикс), -вш (суффикс))
;;157;в;(-в- (корень));1;(-в- (корень));;;;()
;;158;экспедиции;(-ици (суффикс), -экспед- (корень), -и (окончание));3;(-ициj (суффикс), -экспед- (корень), -и (окончание));7;3;;()
18;У моего отца был счёт в швейцарском банке, он был лесоторговец!;159;у;(-у- (корень));1;(-у- (корень));1;1;;()
;;160;моего;(-мо- (корень), -его (окончание));2;(-моj- (корень), -его (окончание));5;3;;()
;;161;отца;(-отц- (корень), -а (окончание));2;(-отц- (корень), -а (окончание));4;2;;()
;;162;был;(-л (суффикс), -бы- (корень));2;(-л (суффикс), -бы- (корень));2;1;;(-л (суффикс))
;;163;счет;(с- (приставка), -чет- (корень));2;(с- (приставка), -чет- (корень));3;1;;()
;;164;в;(-в- (корень));1;(-в- (корень));;;;()
;;165;швейцарском;(-ск (суффикс), -швейцар- (корень), -ом (окончание));3;(-ск (суффикс), -швейцар- (корень), -ом (окончание));6;2;;()
;;166;банке;(-банк- (корень), -е (окончание));2;(-банк- (корень), -е (окончание));2;1;;()
;;167;он;(-он- (корень));1;(-он- (корень));1;1;;()
;;168;был;(-л (суффикс), -бы- (корень));2;(-л (суффикс), -бы- (корень));2;1;;(-л (суффикс))
;;169;лесоторговец;(-ец (суффикс), -ов (суффикс), -лес- (корень), -торг- (корень), -о- (интерфикс));5;(-ец (суффикс), -ов (суффикс), -лес- (корень), -торг- (корень), -о- (интерфикс));9;4;;()
19;Количество денег в обороте выросло благодаря союзу с американским банком.;170;количество;(-количеств- (корень), -о (окончание));2;(-количеств- (корень), -о (окончание));4;2;;()
;;171;денег;(-денег- (корень));1;(-денег- (корень));2;1;;()
;;172;в;(-в- (корень));1;(-в- (корень));;;;()
;;173;обороте;(-оборот- (корень), -е (окончание));2;(-оборот- (корень), -е (окончание));5;3;;()
;;174;выросло;(вы- (приставка), -л (суффикс), -рос- (корень), -о (окончание));4;(вы- (приставка), -л (суффикс), -рос- (корень), -о (окончание));2;1;;(-л (суффикс))
;;175;благодаря;(-благодаря- (корень));1;(-благодаря- (корень));9;4;;()
;;176;союзу;(со- (приставка), -юз- (корень), -у (окончание));3;(со- (приставка), -юз- (корень), -у (окончание));3;2;;()
;;177;с;(-с- (корень));1;(-с- (корень));;;;()
;;178;американским;(-ск (суффикс), -ан- (интерфикс), -америк- (корень), -им (окончание));4;(-ск (суффикс), -ан- (интерфикс), -америк- (корень), -им (окончание));7;4;;()
;;179;банком;(-банк- (корень), -ом (окончание));2;(-банк- (корень), -ом (окончание));2;1;;()
20;Возможности этих перемен будут обсуждаться в Париже летом будущего года.;180;возможности;(воз- (приставка), -н (суффикс), -ост (суффикс), -мож- (корень), -и (окончание));5;(воз- (приставка), -н (суффикс), -ост (суффикс), -мож- (корень), -и (окончание));5;2;;()
;;181;этих;(-эт- (корень), -их (окончание));2;(-эт- (корень), -их (окончание));1;1;;()
;;182;перемен;(пере- (приставка), -мен- (корень));2;(пере- (приставка), -мен- (корень));6;3;;()
;;183;будут;(-буд- (корень), -ут (окончание));2;(-буд- (корень), -ут (окончание));2;1;;()
;;184;обсуждаться;(-ся (постфикс), об- (приставка), -а (суффикс), -сужд- (корень), -ть (суффикс));5;(-ся (постфикс), об- (приставка), -а (суффикс), -сужд- (корень), -ть (суффикс));7;3;;(-а (суффикс),  -ть (суффикс))
;;185;в;(-в- (корень));1;(-в- (корень));;;;()
;;186;париже;(-париж- (корень), -е (окончание));2;(-париж- (корень), -е (окончание));4;2;;()
;;187;летом;(-лет- (корень), -ом (окончание));2;(-лет- (корень), -ом (окончание));2;1;;()
;;188;будущего;(-ущ (суффикс), -буд- (корень), -его (окончание));3;(-ущ (суффикс), -буд- (корень), -его (окончание));2;1;;(-ущ (суффикс))
;;189;года;(-год- (корень), -а (окончание));2;(-год- (корень), -а (окончание));2;1;1;()
21;Применение микросхемы даст возможность уменьшить вес бытовой электроники.;190;применение;(-ени (суффикс), -примен- (корень), -е (окончание));3;(-ениj (суффикс), -примен- (корень), -е (окончание));7;3;;()
;;191;микросхемы;(микро- (префиксоид), -схем- (корень), -ы (окончание));3;(микро- (префиксоид), -схем- (корень), -ы (окончание));8;3;;()
;;192;даст;(-да- (корень), -ст (окончание));2;(-да- (корень), -ст (окончание));2;1;;()
;;193;возможность;(воз- (приставка), -н (суффикс), -ость (суффикс), -мож- (корень));4;(воз- (приставка), -н (суффикс), -ость (суффикс), -мож- (корень));5;2;;()
